epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,728.101,1.17961,0.81009,1.24553,0.67536,0.3697,0.43365,0.17343,2.32426,2.25654,2.22401,0.000270253,0.000270253,0.000270253
43,745.597,1.18692,0.8433,1.26572,0.53631,0.36236,0.34815,0.14081,2.30068,2.50123,2.20138,0.000268838,0.000268838,0.000268838
44,762.506,1.16683,0.80948,1.24895,0.72053,0.32065,0.36797,0.1466,2.19686,2.72437,2.12975,0.000267394,0.000267394,0.000267394
45,779.505,1.15792,0.82116,1.23137,0.78722,0.33033,0.36652,0.15733,2.22599,2.58968,2.14005,0.000265921,0.000265921,0.000265921
46,796.707,1.16233,0.80718,1.23736,0.66256,0.37704,0.4157,0.17431,2.17595,2.66961,2.15723,0.00026442,0.00026442,0.00026442
47,814.692,1.1173,0.77498,1.22115,0.60212,0.37855,0.41937,0.18002,2.22401,2.5167,2.17688,0.000262891,0.000262891,0.000262891
48,832.014,1.11977,0.78079,1.20506,0.48551,0.40555,0.37244,0.14812,2.25671,2.44696,2.20768,0.000261335,0.000261335,0.000261335
49,849.026,1.11283,0.76812,1.19823,0.47009,0.36526,0.33774,0.14574,2.13565,2.69443,2.13038,0.000259752,0.000259752,0.000259752
50,866.185,1.05676,0.73227,1.18564,0.53452,0.38515,0.38586,0.1671,2.11705,2.57006,2.1328,0.000258142,0.000258142,0.000258142
51,883.064,1.1003,0.78919,1.19408,0.51877,0.43826,0.40895,0.16675,2.29331,2.16808,2.21138,0.000256505,0.000256505,0.000256505
52,900.22,1.05845,0.73343,1.18214,0.54052,0.37875,0.3854,0.16926,2.22452,2.41617,2.23509,0.000254843,0.000254843,0.000254843
53,916.985,1.05468,0.72706,1.17214,0.39733,0.39438,0.35987,0.15165,2.25177,2.3864,2.284,0.000253155,0.000253155,0.000253155
54,934.32,1.05184,0.7408,1.17383,0.58,0.3365,0.365,0.15365,2.25301,2.40893,2.19672,0.000251442,0.000251442,0.000251442
55,951.148,1.0606,0.71054,1.18073,0.537,0.3697,0.39612,0.16572,2.20343,2.44762,2.11637,0.000249705,0.000249705,0.000249705
56,968.392,1.01839,0.66874,1.14322,0.52385,0.39419,0.38274,0.15395,2.30496,2.4628,2.15897,0.000247943,0.000247943,0.000247943
57,985.157,1.0222,0.70645,1.15292,0.67179,0.36002,0.3962,0.16874,2.1991,2.61749,2.15541,0.000246157,0.000246157,0.000246157
58,1002.35,1.01733,0.67237,1.14603,0.62963,0.37378,0.37677,0.16219,2.1734,2.73317,2.15927,0.000244349,0.000244349,0.000244349
59,1019.36,0.97701,0.6714,1.14014,0.59002,0.34144,0.34691,0.15786,2.13401,2.77735,2.19018,0.000242517,0.000242517,0.000242517
60,1036.22,0.99284,0.65261,1.14308,0.66677,0.38889,0.40715,0.17233,2.23073,2.47075,2.21225,0.000240662,0.000240662,0.000240662
61,1053.23,0.99436,0.66094,1.12812,0.52643,0.38589,0.37057,0.14805,2.26594,2.55525,2.24115,0.000238786,0.000238786,0.000238786
62,1070.13,0.98146,0.68101,1.13553,0.63526,0.331,0.39312,0.16185,2.14763,2.79542,2.23881,0.000236888,0.000236888,0.000236888
63,1086.86,0.9771,0.65786,1.11012,0.53091,0.39118,0.34618,0.15186,2.15237,2.5811,2.17721,0.000234969,0.000234969,0.000234969
64,1104.07,0.96752,0.68811,1.13043,0.58521,0.39556,0.36299,0.16194,2.13836,2.53216,2.09366,0.00023303,0.00023303,0.00023303
65,1121.23,0.94978,0.65759,1.11462,0.5031,0.37354,0.34864,0.15072,2.24871,2.96445,2.23592,0.00023107,0.00023107,0.00023107
66,1138.62,0.97514,0.67546,1.1055,0.57642,0.32416,0.33964,0.15233,2.16828,2.65478,2.21967,0.000229091,0.000229091,0.000229091
67,1155.74,0.9401,0.65292,1.10259,0.43713,0.3994,0.3494,0.14861,2.23602,2.90454,2.34122,0.000227093,0.000227093,0.000227093
