epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,593.531,1.58737,1.52232,1.53199,0.28981,0.30479,0.24219,0.1063,2.23661,2.43817,2.06917,0.000643101,0.000643101,0.000643101
43,606.917,1.55616,1.47324,1.51402,0.26026,0.30168,0.21634,0.08637,2.18345,2.56063,2.05629,0.000628101,0.000628101,0.000628101
44,620.278,1.53888,1.45227,1.49594,0.30656,0.27619,0.25591,0.10631,2.23147,2.36612,2.08559,0.000612981,0.000612981,0.000612981
45,633.811,1.53007,1.4547,1.49322,0.42302,0.25874,0.24499,0.10277,2.21328,2.61195,2.05375,0.000597754,0.000597754,0.000597754
46,647.156,1.49734,1.40637,1.47914,0.33751,0.26382,0.23318,0.09452,2.24894,2.41969,2.13601,0.000582435,0.000582435,0.000582435
47,660.354,1.50993,1.4253,1.49242,0.3824,0.23307,0.22717,0.09331,2.29862,2.52955,2.18732,0.00056704,0.00056704,0.00056704
48,673.526,1.49423,1.39559,1.46616,0.30985,0.24291,0.21463,0.10011,2.16982,2.54567,2.11133,0.000551584,0.000551584,0.000551584
49,686.892,1.47413,1.33665,1.47064,0.37741,0.2731,0.25256,0.10075,2.19416,2.40847,2.09715,0.000536081,0.000536081,0.000536081
50,700.365,1.42139,1.2943,1.44941,0.45972,0.25175,0.26335,0.11338,2.25617,2.40292,2.12133,0.000520548,0.000520548,0.000520548
51,714.209,1.42898,1.28781,1.42384,0.32121,0.25735,0.21714,0.10163,2.2034,2.5875,2.12837,0.000505,0.000505,0.000505
52,727.593,1.42129,1.27135,1.43307,0.3813,0.23496,0.23803,0.10096,2.18493,2.56884,2.08869,0.000489452,0.000489452,0.000489452
53,741.04,1.4001,1.21351,1.40159,0.36894,0.29932,0.28552,0.11397,2.16827,2.33962,2.0766,0.000473919,0.000473919,0.000473919
54,754.698,1.38977,1.21975,1.39033,0.34567,0.26839,0.24882,0.10559,2.25526,2.56243,2.12194,0.000458416,0.000458416,0.000458416
55,767.986,1.38366,1.21654,1.39956,0.47025,0.19223,0.22667,0.09455,2.22818,2.57856,2.11462,0.00044296,0.00044296,0.00044296
56,781.248,1.38001,1.18667,1.40603,0.51688,0.17625,0.21052,0.0879,2.28224,2.64427,2.16882,0.000427565,0.000427565,0.000427565
57,794.747,1.34225,1.14662,1.36385,0.33975,0.27664,0.23369,0.10482,2.19566,2.51875,2.11927,0.000412246,0.000412246,0.000412246
58,807.915,1.30677,1.11657,1.35215,0.3583,0.24536,0.24642,0.10422,2.23949,2.54363,2.13963,0.000397019,0.000397019,0.000397019
59,821.266,1.29978,1.08778,1.34919,0.38697,0.29563,0.26217,0.10617,2.22983,2.5811,2.16787,0.000381899,0.000381899,0.000381899
60,834.84,1.30297,1.05805,1.3292,0.46382,0.28368,0.25982,0.10379,2.3098,2.53142,2.19057,0.000366899,0.000366899,0.000366899
61,848.262,1.27595,1.06057,1.32857,0.34064,0.30977,0.25166,0.09871,2.22769,2.52228,2.15842,0.000352037,0.000352037,0.000352037
62,861.635,1.26669,1.02796,1.32512,0.33833,0.22426,0.21815,0.09098,2.19386,2.56684,2.1513,0.000337325,0.000337325,0.000337325
63,874.903,1.27669,1.02242,1.30992,0.3972,0.2839,0.24559,0.09838,2.25857,2.508,2.15885,0.000322778,0.000322778,0.000322778
64,888.318,1.24153,1.00482,1.30661,0.33134,0.31256,0.24642,0.11135,2.21087,2.55037,2.13366,0.000308412,0.000308412,0.000308412
65,901.741,1.21644,0.97548,1.28421,0.38807,0.32223,0.26619,0.1111,2.22591,2.39569,2.17659,0.000294239,0.000294239,0.000294239
66,915.204,1.20684,0.96809,1.27382,0.32,0.33268,0.26029,0.11032,2.25839,2.46636,2.17832,0.000280275,0.000280275,0.000280275
67,928.64,1.16717,0.93247,1.25208,0.45425,0.29453,0.2949,0.12934,2.21332,2.5295,2.16568,0.000266532,0.000266532,0.000266532
68,942.518,1.19124,0.95993,1.27138,0.48766,0.287,0.27428,0.1184,2.2499,2.6291,2.17947,0.000253024,0.000253024,0.000253024
69,955.927,1.16745,0.90117,1.23965,0.3766,0.3071,0.27558,0.11577,2.29316,2.54765,2.22224,0.000239766,0.000239766,0.000239766
70,969.12,1.17117,0.901,1.25128,0.48236,0.25875,0.2778,0.12017,2.22287,2.59993,2.18758,0.000226769,0.000226769,0.000226769
71,982.366,1.15826,0.88497,1.23656,0.37791,0.25693,0.24816,0.10983,2.27154,2.62191,2.22182,0.000214046,0.000214046,0.000214046
72,995.684,1.11627,0.85024,1.22339,0.41873,0.26433,0.23996,0.10982,2.27793,2.63311,2.24561,0.000201611,0.000201611,0.000201611
73,1009.01,1.12929,0.88299,1.23453,0.42964,0.23912,0.24415,0.10368,2.28074,2.68258,2.23248,0.000189475,0.000189475,0.000189475
74,1022.42,1.09711,0.85354,1.21145,0.429,0.29454,0.25006,0.11281,2.26508,2.6893,2.19398,0.000177651,0.000177651,0.000177651
75,1035.85,1.1121,0.84282,1.21375,0.41249,0.28076,0.26124,0.11809,2.20671,2.63614,2.18814,0.000166149,0.000166149,0.000166149
76,1049.21,1.07118,0.84702,1.21187,0.3918,0.26965,0.24975,0.10737,2.25626,2.67705,2.23739,0.000154982,0.000154982,0.000154982
77,1062.49,1.07951,0.82556,1.20585,0.43815,0.28421,0.24891,0.10667,2.2626,2.67521,2.26033,0.000144161,0.000144161,0.000144161
78,1075.88,1.05915,0.79349,1.1744,0.52082,0.25319,0.25241,0.10613,2.23044,2.74809,2.20661,0.000133695,0.000133695,0.000133695
79,1089.42,1.07814,0.83079,1.19873,0.34589,0.31544,0.25524,0.1114,2.23189,2.72825,2.21011,0.000123596,0.000123596,0.000123596
80,1102.87,1.04443,0.7893,1.18431,0.50154,0.26848,0.2725,0.11897,2.29124,2.73307,2.27267,0.000113873,0.000113873,0.000113873
